"monatszahl","auspraegung","jahr","monat","wert"
"Alkoholunfälle","insgesamt",2010,6,39
"Alkoholunfälle","insgesamt",2010,7,48
"Alkoholunfälle","insgesamt",2010,8,40
"Alkoholunfälle","insgesamt",2010,9,54
"Alkoholunfälle","insgesamt",2010,10,27
"Alkoholunfälle","insgesamt",2010,11,28
"Alkoholunfälle","insgesamt",2010,12,26
"Alkoholunfälle","insgesamt",2009,1,23
"Alkoholunfälle","insgesamt",2009,2,32
"Alkoholunfälle","insgesamt",2009,3,14
"Alkoholunfälle","insgesamt",2009,4,45
"Alkoholunfälle","insgesamt",2009,5,57
"Alkoholunfälle","insgesamt",2009,6,31
"Alkoholunfälle","insgesamt",2009,7,44
"Alkoholunfälle","insgesamt",2009,8,35
"Alkoholunfälle","insgesamt",2009,9,49
"Alkoholunfälle","insgesamt",2009,10,35
"Alkoholunfälle","insgesamt",2009,11,31
"Alkoholunfälle","insgesamt",2009,12,34
"Alkoholunfälle","insgesamt",2008,1,32
"Alkoholunfälle","insgesamt",2008,2,30
"Alkoholunfälle","insgesamt",2008,3,30
"Alkoholunfälle","insgesamt",2008,4,25
"Alkoholunfälle","insgesamt",2008,5,57
"Alkoholunfälle","insgesamt",2008,6,56
"Alkoholunfälle","insgesamt",2008,7,52
"Alkoholunfälle","insgesamt",2008,8,44
"Alkoholunfälle","insgesamt",2008,9,49
"Alkoholunfälle","insgesamt",2008,10,45
"Alkoholunfälle","insgesamt",2008,11,27
"Alkoholunfälle","insgesamt",2008,12,35
"Alkoholunfälle","insgesamt",2007,1,36
"Alkoholunfälle","insgesamt",2007,2,32
"Alkoholunfälle","insgesamt",2007,3,38
"Alkoholunfälle","insgesamt",2007,4,49
"Alkoholunfälle","insgesamt",2007,5,63
"Alkoholunfälle","insgesamt",2007,6,51
"Alkoholunfälle","insgesamt",2007,7,65
"Alkoholunfälle","insgesamt",2007,8,44
"Alkoholunfälle","insgesamt",2007,9,54
"Alkoholunfälle","insgesamt",2007,10,55
"Alkoholunfälle","insgesamt",2007,11,36
"Alkoholunfälle","insgesamt",2007,12,37
"Alkoholunfälle","insgesamt",2006,1,44
"Alkoholunfälle","insgesamt",2006,2,50
"Alkoholunfälle","insgesamt",2006,3,40
"Alkoholunfälle","insgesamt",2006,4,40
"Alkoholunfälle","insgesamt",2006,5,53
"Alkoholunfälle","insgesamt",2006,6,51
"Alkoholunfälle","insgesamt",2006,7,64
"Alkoholunfälle","insgesamt",2006,8,48
"Alkoholunfälle","insgesamt",2006,9,64
"Alkoholunfälle","insgesamt",2006,10,45
"Alkoholunfälle","insgesamt",2006,11,48
"Alkoholunfälle","insgesamt",2006,12,52
"Alkoholunfälle","insgesamt",2005,1,48
"Alkoholunfälle","insgesamt",2005,2,40
"Alkoholunfälle","insgesamt",2005,3,40
"Alkoholunfälle","insgesamt",2005,4,40
"Alkoholunfälle","insgesamt",2005,5,48
"Alkoholunfälle","insgesamt",2005,6,57
"Alkoholunfälle","insgesamt",2005,7,63
"Alkoholunfälle","insgesamt",2005,8,48
"Alkoholunfälle","insgesamt",2005,9,76
"Alkoholunfälle","insgesamt",2005,10,57
"Alkoholunfälle","insgesamt",2005,11,42
"Alkoholunfälle","insgesamt",2005,12,41
"Alkoholunfälle","insgesamt",2004,1,42
"Alkoholunfälle","insgesamt",2004,2,48
"Alkoholunfälle","insgesamt",2004,3,44
"Alkoholunfälle","insgesamt",2004,4,37
"Alkoholunfälle","insgesamt",2004,5,55
"Alkoholunfälle","insgesamt",2004,6,58
"Alkoholunfälle","insgesamt",2004,7,67
"Alkoholunfälle","insgesamt",2004,8,58
"Alkoholunfälle","insgesamt",2004,9,79
"Alkoholunfälle","insgesamt",2004,10,68
"Alkoholunfälle","insgesamt",2004,11,51
"Alkoholunfälle","insgesamt",2004,12,52
"Alkoholunfälle","insgesamt",2003,1,55
"Alkoholunfälle","insgesamt",2003,2,44
"Alkoholunfälle","insgesamt",2003,3,53
"Alkoholunfälle","insgesamt",2003,4,50
"Alkoholunfälle","insgesamt",2003,5,65
"Alkoholunfälle","insgesamt",2003,6,82
"Alkoholunfälle","insgesamt",2003,7,76
"Alkoholunfälle","insgesamt",2003,8,66
"Alkoholunfälle","insgesamt",2003,9,63
"Alkoholunfälle","insgesamt",2003,10,74
"Alkoholunfälle","insgesamt",2003,11,44
"Alkoholunfälle","insgesamt",2003,12,58
"Alkoholunfälle","insgesamt",2002,1,44
"Alkoholunfälle","insgesamt",2002,2,49
"Alkoholunfälle","insgesamt",2002,3,61
"Alkoholunfälle","insgesamt",2002,4,65
"Alkoholunfälle","insgesamt",2002,5,58
"Alkoholunfälle","insgesamt",2002,6,74
"Alkoholunfälle","insgesamt",2002,7,84
"Alkoholunfälle","insgesamt",2002,8,71
"Alkoholunfälle","insgesamt",2002,9,107
"Alkoholunfälle","insgesamt",2002,10,83
"Alkoholunfälle","insgesamt",2002,11,44
"Alkoholunfälle","insgesamt",2002,12,63
"Alkoholunfälle","insgesamt",2001,1,66
"Alkoholunfälle","insgesamt",2001,2,49
"Alkoholunfälle","insgesamt",2001,3,63
"Alkoholunfälle","insgesamt",2001,4,68
"Alkoholunfälle","insgesamt",2001,5,85
"Alkoholunfälle","insgesamt",2001,6,68
"Alkoholunfälle","insgesamt",2001,7,71
"Alkoholunfälle","insgesamt",2001,8,60
"Alkoholunfälle","insgesamt",2001,9,107
"Alkoholunfälle","insgesamt",2001,10,77
"Alkoholunfälle","insgesamt",2001,11,68
"Alkoholunfälle","insgesamt",2001,12,66
"Alkoholunfälle","insgesamt",2000,1,78
"Alkoholunfälle","insgesamt",2000,2,53
"Alkoholunfälle","insgesamt",2000,3,73
"Alkoholunfälle","insgesamt",2000,4,78
"Alkoholunfälle","insgesamt",2000,5,96
"Alkoholunfälle","insgesamt",2000,6,57
"Alkoholunfälle","insgesamt",2000,7,99
"Alkoholunfälle","insgesamt",2000,8,77
"Alkoholunfälle","insgesamt",2000,9,84
"Alkoholunfälle","insgesamt",2000,10,83
"Alkoholunfälle","insgesamt",2000,11,71
"Alkoholunfälle","insgesamt",2000,12,85
"Alkoholunfälle","Verletzte und Getötete",2025,1,7
"Alkoholunfälle","Verletzte und Getötete",2025,2,16
"Alkoholunfälle","Verletzte und Getötete",2025,3,15
"Alkoholunfälle","Verletzte und Getötete",2025,4,11
"Alkoholunfälle","Verletzte und Getötete",2025,5,27
"Alkoholunfälle","Verletzte und Getötete",2025,6,21
"Alkoholunfälle","Verletzte und Getötete",2025,7,33
"Alkoholunfälle","Verletzte und Getötete",2025,8,39
"Alkoholunfälle","Verletzte und Getötete",2025,9,36
"Alkoholunfälle","Verletzte und Getötete",2025,10,14
"Alkoholunfälle","Verletzte und Getötete",2025,11,17
"Alkoholunfälle","Verletzte und Getötete",2025,12,15
"Alkoholunfälle","Verletzte und Getötete",2024,1,12
"Alkoholunfälle","Verletzte und Getötete",2024,2,17
"Alkoholunfälle","Verletzte und Getötete",2024,3,14
"Alkoholunfälle","Verletzte und Getötete",2024,4,27
"Alkoholunfälle","Verletzte und Getötete",2024,5,17
"Alkoholunfälle","Verletzte und Getötete",2024,6,34
"Alkoholunfälle","Verletzte und Getötete",2024,7,30
"Alkoholunfälle","Verletzte und Getötete",2024,8,39
"Alkoholunfälle","Verletzte und Getötete",2024,9,25
"Alkoholunfälle","Verletzte und Getötete",2024,10,28
"Alkoholunfälle","Verletzte und Getötete",2024,11,16
"Alkoholunfälle","Verletzte und Getötete",2024,12,14
"Alkoholunfälle","Verletzte und Getötete",2023,1,14
"Alkoholunfälle","Verletzte und Getötete",2023,2,15
"Alkoholunfälle","Verletzte und Getötete",2023,3,13
"Alkoholunfälle","Verletzte und Getötete",2023,4,23
